 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
681046630516081075,https://www.airbnb.com/rooms/681046630516081075,121718072,Entire townhouse,39.75392,-105.02266,2,2.5,4,5.0,10,428.0,96.0,86093.0,299.0,29,41.0,3.0,High,Large,No,No,Yes,No,No,No,0,576
681820756251091699,https://www.airbnb.com/rooms/681820756251091699,173712088,Entire guest suite,39.7694,-105.03953,2,1.0,4,4.91,47,191.0,44.0,22087.0,313.0,1,10.0,2.0,High,Individual,No,No,No,Yes,No,No,0,577
685671841837900232,https://www.airbnb.com/rooms/685671841837900232,57890376,Entire home,39.7651372,-105.0348974,2,1.0,4,5.0,4,155.0,90.0,38590.0,290.0,30,38.0,31.0,None,Individual,No,No,Yes,Yes,No,No,0,578
686122389210622526,https://www.airbnb.com/rooms/686122389210622526,121718072,Entire townhouse,39.75289,-105.0233,2,2.5,4,4.86,7,554.0,83.0,21306.0,90.0,29,22.0,4.0,High,Large,No,No,Yes,No,No,No,0,579
687756281547100447,https://www.airbnb.com/rooms/687756281547100447,10730,Entire condo,39.75745,-105.00995,2,2.5,6,-NA,0,150.0,72.0,24425.0,239.0,30,5.5,2.0,None,Small,No,No,Yes,No,No,No,0,580
687768125161080215,https://www.airbnb.com/rooms/687768125161080215,133612752,Entire home,39.77143,-105.02028,2,1.0,3,5.0,12,155.0,83.0,23428.0,265.0,2,22.5,5.5,None,Individual,No,No,Yes,No,No,No,1,581
688217934106541596,https://www.airbnb.com/rooms/688217934106541596,340445453,Entire condo,39.76414,-105.00371,2,2.0,4,4.5,2,175.0,45.0,26600.0,340.0,29,44.0,31.0,None,Moderate,No,No,Yes,No,No,No,0,582
688468287436406116,https://www.airbnb.com/rooms/688468287436406116,52470095,Entire townhouse,39.760672,-105.028636,2,1.5,4,4.5,1,135.0,86.0,18165.0,160.0,30,10.0,8.0,None,Moderate,No,No,Yes,Yes,No,No,0,583
688502902862768514,https://www.airbnb.com/rooms/688502902862768514,58315336,Entire home,39.77276,-105.00731,2,2.5,4,5.0,3,185.0,99.0,59875.0,327.0,2,56.5,3.0,None,Small,No,No,Yes,No,No,No,0,584
691884693818843529,https://www.airbnb.com/rooms/691884693818843529,52470095,Entire guesthouse,39.7612147,-105.0142159,2,1.0,4,4.98,47,198.0,73.0,46913.0,354.0,3,30.0,3.0,High,Moderate,No,No,Yes,No,No,No,0,585
691907793841310254,https://www.airbnb.com/rooms/691907793841310254,17173481,Entire guesthouse,39.7754985442,-105.0077790786,2,1.0,4,4.96,24,96.0,88.0,16272.0,173.0,2,8.0,3.0,Low,Individual,No,No,Yes,No,No,No,1,586
695465026567117117,https://www.airbnb.com/rooms/695465026567117117,12334804,Entire home,39.76318,-105.04024,2,2.0,9,-NA,0,300.0,70.0,21700.0,101.0,1,32.0,2.0,None,Small,No,No,Yes,Yes,No,No,0,587
696036197613370417,https://www.airbnb.com/rooms/696036197613370417,3764549,Entire home,39.75424,-105.02996,2,1.0,6,4.89,57,148.0,72.0,33039.0,343.0,2,45.0,3.0,Moderate,Individual,No,No,Yes,No,No,Yes,0,588
701428492978487473,https://www.airbnb.com/rooms/701428492978487473,7088117,Entire home,39.76235,-105.03014,2,2.0,4,4.89,9,198.0,80.0,13312.0,92.0,29,34.0,10.0,None,Individual,No,No,Yes,No,No,No,0,589
703334765450415213,https://www.airbnb.com/rooms/703334765450415213,477045552,Entire home,39.76421,-105.03215,2,1.0,3,4.64,22,170.0,82.0,41682.0,348.0,2,34.0,3.0,High,Individual,No,No,Yes,No,No,No,0,590
710756954220544238,https://www.airbnb.com/rooms/710756954220544238,59729201,Entire condo,39.76327,-105.03204,2,1.0,2,5.0,2,125.0,64.0,9936.0,91.0,29,37.0,29.0,None,Small,No,No,Yes,Yes,No,No,0,591
717942620254550220,https://www.airbnb.com/rooms/717942620254550220,110328442,Entire home,39.7779024,-105.0237574,2,2.0,2,-NA,0,128.0,0.0,0.0,56.0,30,0.0,0.0,None,Individual,No,No,Yes,No,No,No,0,592
721709701696904082,https://www.airbnb.com/rooms/721709701696904082,480585850,Entire home,39.78077,-105.03589,2,1.0,6,4.72,25,124.0,52.0,23994.0,348.0,2,44.0,3.0,High,Small,No,No,Yes,Yes,No,No,0,593
723822796186332502,https://www.airbnb.com/rooms/723822796186332502,4665978,Entire townhouse,39.75581,-105.02429,2,2.5,4,5.0,1,175.0,79.0,24295.0,228.0,29,95.0,44.5,None,Individual,No,No,Yes,No,No,No,0,594
726709800747937246,https://www.airbnb.com/rooms/726709800747937246,121718072,Entire townhouse,39.75293,-105.02231,2,2.5,6,4.8,10,330.0,81.0,64375.0,300.0,29,26.0,5.0,None,Large,No,No,Yes,Yes,No,No,0,595
733179720669337299,https://www.airbnb.com/rooms/733179720669337299,25746347,Entire townhouse,39.74829,-105.02738,2,2.5,6,5.0,16,349.0,89.0,82708.0,316.0,2,62.5,4.0,Low,Individual,No,No,Yes,Yes,No,No,0,596
742735450433261938,https://www.airbnb.com/rooms/742735450433261938,34955862,Entire home,39.75432,-105.02584,2,1.0,4,4.87,30,150.0,54.0,31770.0,343.0,3,33.0,3.0,Moderate,Large,No,No,No,No,No,No,0,597
746273969260926893,https://www.airbnb.com/rooms/746273969260926893,121718072,Entire home,39.77714,-105.01851,2,1.0,4,4.5,16,194.0,65.0,32614.0,316.0,2,18.5,3.0,Low,Large,No,No,Yes,No,No,No,0,598
758924213163152709,https://www.airbnb.com/rooms/758924213163152709,39664417,Entire rental unit,39.7584158326,-105.046027489,2,1.0,4,4.55,71,132.0,71.0,19690.0,286.0,1,26.5,2.0,Moderate,Individual,No,No,No,No,No,No,1,599
770412350391922564,https://www.airbnb.com/rooms/770412350391922564,3192044,Entire home,39.77117,-105.00931,2,1.0,4,-NA,0,119.0,0.0,0.0,344.0,56,0.0,0.0,None,Small,No,No,Yes,Yes,No,No,0,600
771229475062319364,https://www.airbnb.com/rooms/771229475062319364,46568041,Entire home,39.7823207,-105.0263744,2,2.5,4,-NA,0,190.0,5.0,2850.0,307.0,30,0.0,15.0,None,Small,No,Yes,Yes,No,No,No,0,601
775387879959970706,https://www.airbnb.com/rooms/775387879959970706,2619306,Entire townhouse,39.7492994,-105.0218057,2,2.5,7,5.0,45,338.0,62.0,60727.0,310.0,1,26.0,2.0,Moderate,Large,No,No,Yes,No,No,No,0,602
776013518228730896,https://www.airbnb.com/rooms/776013518228730896,121718072,Entire home,39.78278,-105.02079,2,1.0,4,4.33,3,146.0,61.0,19643.0,205.0,2,27.0,3.0,None,Large,No,No,Yes,No,No,No,1,603
776858914746409698,https://www.airbnb.com/rooms/776858914746409698,10589820,Entire home,39.7684178647,-105.0317626848,2,1.0,4,5.0,18,110.0,92.0,23232.0,232.0,3,79.0,3.0,Moderate,Individual,No,No,Yes,No,No,No,1,604
780506709949628464,https://www.airbnb.com/rooms/780506709949628464,46649051,Entire rental unit,39.7643031,-105.0114654,2,1.0,6,5.0,29,248.0,61.0,34291.0,324.0,2,68.5,3.0,Moderate,Individual,No,No,Yes,No,No,No,1,605
781803824695783545,https://www.airbnb.com/rooms/781803824695783545,124796998,Entire home,39.78175,-105.02224,2,1.0,6,-NA,0,192.0,68.0,14621.0,169.0,29,0.0,39.0,High,Moderate,No,No,Yes,No,No,No,1,606
788314855550328339,https://www.airbnb.com/rooms/788314855550328339,121718865,Entire townhouse,39.76955,-105.02276,2,2.5,7,4.63,8,333.0,66.0,40079.0,189.0,3,17.5,3.0,Low,Large,No,No,Yes,No,No,No,1,607
