 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
4555454,https://www.airbnb.com/rooms/4555454,6956910,Entire apartment,43.65493,-70.26968,1,1.0,2,4.85,192,100.0,26.0,1700.0,66.0,6,379.0,2.0,None,Small,No,No,Yes,No,No,No,0,137
4955920,https://www.airbnb.com/rooms/4955920,25544543,Entire rental unit,43.64765,-70.24333,1,1.0,2,4.76,108,118.0,0.0,0.0,225.0,30,0.0,0.0,None,Small,No,No,Yes,No,No,No,0,138
5048285,https://www.airbnb.com/rooms/5048285,26062168,Entire guesthouse,43.74077,-70.2096,1,1.0,3,4.86,132,283.0,70.0,27502.0,173.0,2,39.5,4.0,None,Small,No,No,Yes,Yes,No,No,0,139
5074315,https://www.airbnb.com/rooms/5074315,2182949,Entire rental unit,43.66613,-70.24625,1,1.0,3,4.93,480,135.0,64.0,26058.0,359.0,2,69.5,2.0,Moderate,Individual,No,No,Yes,No,No,No,0,140
5076761,https://www.airbnb.com/rooms/5076761,4744550,Entire rental unit,43.65754,-70.25995,1,1.0,4,4.77,503,188.0,51.0,41721.0,361.0,1,47.5,2.0,Moderate,Small,No,No,Yes,No,No,No,0,141
5150138,https://www.airbnb.com/rooms/5150138,4744550,Entire rental unit,43.6564,-70.26112,1,1.0,3,4.78,492,195.0,44.0,35069.0,356.0,1,28.0,2.0,Moderate,Small,No,No,Yes,No,No,No,0,142
5458526,https://www.airbnb.com/rooms/5458526,28312295,Entire loft,43.66816,-70.25572,1,1.0,2,4.79,16,155.0,0.0,0.0,0.0,29,0.0,0.0,None,Individual,No,No,Yes,No,No,No,1,143
5719033,https://www.airbnb.com/rooms/5719033,119462149,Entire cabin,43.65693,-70.19959,1,1.0,4,4.94,109,300.0,39.0,35835.0,326.0,3,106.0,1.0,None,Small,No,Yes,Yes,No,Yes,No,0,144
5745731,https://www.airbnb.com/rooms/5745731,10944067,Entire home,43.70586,-70.42775,1,1.0,2,4.99,134,139.0,99.0,24428.0,150.0,2,61.5,3.0,None,Small,No,No,Yes,No,No,No,0,145
6155446,https://www.airbnb.com/rooms/6155446,4224448,Entire rental unit,43.65706,-70.26662,1,1.0,2,4.82,295,175.0,70.0,37960.0,353.0,3,13.0,5.0,Low,Small,No,No,Yes,No,No,No,0,146
6273732,https://www.airbnb.com/rooms/6273732,32605782,Entire rental unit,43.65188,-70.28332,1,1.0,4,4.82,343,158.0,76.0,24853.0,215.0,3,38.0,3.0,Moderate,Small,No,No,Yes,No,No,No,0,147
6480792,https://www.airbnb.com/rooms/6480792,26116639,Entire rental unit,43.64861,-70.26873,1,1.0,3,4.94,349,172.0,97.0,50705.0,290.0,3,75.0,3.5,High,Individual,No,No,Yes,No,No,No,0,148
6607842,https://www.airbnb.com/rooms/6607842,31135066,Entire rental unit,43.669,-70.24749,1,1.0,2,4.87,323,200.0,89.0,48475.0,240.0,2,45.0,3.0,None,Small,No,No,Yes,Yes,No,No,0,149
6683254,https://www.airbnb.com/rooms/6683254,21874246,Entire rental unit,43.66813,-70.25316,1,1.0,2,4.79,52,99.0,75.0,3861.0,52.0,30,12.0,50.0,None,Small,No,No,Yes,No,No,No,1,150
6783989,https://www.airbnb.com/rooms/6783989,24062398,Entire condo,43.51276,-70.376434,1,1.0,5,4.72,354,350.0,57.0,57831.0,356.0,1,32.0,2.0,Moderate,Moderate,Yes,No,Yes,No,No,No,0,151
7018540,https://www.airbnb.com/rooms/7018540,36705913,Entire rental unit,43.52594,-70.36392,1,1.0,2,4.8,10,250.0,32.0,7500.0,95.0,7,128.0,7.0,None,Small,Yes,No,Yes,No,No,No,0,152
7246546,https://www.airbnb.com/rooms/7246546,12509863,Entire guest suite,43.63965,-70.22369,1,1.0,2,5.0,631,249.0,96.0,85525.0,352.0,1,72.0,2.0,Moderate,Individual,No,Yes,No,No,No,Yes,0,153
7261546,https://www.airbnb.com/rooms/7261546,37997026,Entire guest suite,43.38,-70.46484,1,1.0,2,4.91,582,324.0,57.0,23783.0,198.0,1,17.0,3.0,Low,Moderate,No,No,Yes,No,No,No,0,154
